Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
0.78815603,0.045900047,0.041649997,108.24971,91.40774,39700,0.51229095,0.0,0.06,0.18404166,0.1793,5.0,0.001,50,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.8294701,0.045300007,0.041733325,96.93847,70.812546,79400,0.5214881,0.0,0.07,0.19870833,0.1929,5.0,0.001,100,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.8804985,0.048000038,0.042366683,82.45159,58.160404,158800,0.585536,0.0,0.05,0.20770833,0.20529999,5.0,0.001,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.9606973,0.04910004,0.043216646,66.78252,43.722805,317600,0.669362,0.0,0.05,0.24395832,0.24569999,5.0,0.001,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.0789663,0.04820001,0.04219997,53.384956,32.933044,635200,0.79850155,0.0,0.05,0.30920833,0.30949998,5.0,0.001,800,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
1.249036,0.04580003,0.038283348,46.068848,26.030659,1270400,1.0127096,0.0,0.05,0.41025,0.4122,5.0,0.001,1600,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",1,64000
0.94509727,0.031200051,0.015866637,396.65762,269.07962,39700,0.6493624,0.0,0.12,0.14066666,0.14209999,5.0,0.1,50,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.805031,0.039800048,0.034699976,187.30112,99.61132,79400,0.5806035,0.0,0.07,0.141875,0.1435,5.0,0.1,100,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.90429384,0.034400046,0.028166652,221.86028,110.4847,158800,0.61199063,0.0,0.07,0.15141666,0.148,5.0,0.1,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.0222529,0.033200026,0.024466634,249.36325,127.793175,317600,0.6924934,0.0,0.08,0.17729166,0.1779,5.0,0.1,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.1433699,0.032700002,0.023266673,291.97678,145.92755,635200,0.8066641,0.0,0.07,0.17729166,0.1857,5.0,0.1,800,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.3882723,0.03310001,0.016499996,431.9764,251.57268,1270400,1.0434893,0.0,0.07,0.20216666,0.20349999,5.0,0.1,1600,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
