Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Train Size,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
1.2439537,0.056300044,0.031199992,85.1686,58.463123,158800,0.9238333,0.0,0.11,0.24983333,0.2699,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
1.255815,0.08700001,0.0564,34.02017,28.341944,158800,0.8325714,0.0,0.08,0.23,0.2521,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",7,64000
0.877774,0.047200024,0.043916643,87.96995,56.550865,158800,0.5780249,0.0,0.06,0.20983332,0.2096,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",8,64000
1.1956494,0.035300016,0.01883334,163.6011,110.079475,158800,0.85167223,0.0,0.12,0.23975,0.24249999,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",8,64000
1.2659764,0.058100045,0.0315333,91.3642,63.63337,158800,0.93772966,0.0,0.1,0.24033333,0.2628,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",8,64000
1.2733469,0.08670002,0.05426663,38.665367,30.942457,158800,0.8485419,0.0,0.1,0.242,0.275,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",8,64000
0.89268535,0.041100025,0.03698331,102.570984,69.0957,158800,0.5819546,0.0,0.08,0.21620832,0.213,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",9,64000
1.1557766,0.036800027,0.020366669,149.5484,103.41356,158800,0.79101634,0.0,0.1,0.21983333,0.2285,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",9,64000
1.2359276,0.057099998,0.034733295,82.11103,59.13133,158800,0.933882,0.0,0.12,0.2575,0.2784,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",9,64000
1.2568792,0.0837,0.055733323,35.30007,29.863798,158800,0.84542066,0.0,0.08,0.23966667,0.2574,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",9,64000
0.908381,0.038100004,0.032016635,110.64697,75.51543,158800,0.5890902,0.0,0.07,0.21325,0.2068,5.0,0.01,200,200,0.9,0.1,36000,mnist,60000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",10,64000
1.1500064,0.036000013,0.019833326,143.9147,101.02173,158800,0.80953026,0.0,0.08,0.21425,0.2173,5.0,0.01,200,200,0.9,0.1,18000,mnist,30000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",10,64000
1.2359166,0.055900037,0.031199992,81.38885,59.543022,158800,0.9053224,0.0,0.1,0.2405,0.24669999,5.0,0.01,200,200,0.9,0.1,9000,mnist,15000,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",10,64000
1.2692698,0.08380002,0.050133348,37.65579,31.419617,158800,0.85536885,0.0,0.08,0.23466666,0.254,5.0,0.01,200,200,0.9,0.1,4500,mnist,7500,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",10,64000
